OBS,FAC,SAT,STU,TOT,VOL
1,5,850,58,108,11.5
2,138,954,2454,3834,200
3,44,874,573,1013,70
4,98,941,2172,3152,100
5,1651,1185,31123,47633,7000
6,26,874,295,555,70
7,35,902,1131,1481,125
8,1278,1048,22571,35351,2200
9,365,960,6554,10204,400
10,47,930,793,1263,110
11,1650,1142,36330,52830,6000
12,39,800,522,912,58.4
13,69,1060,1041,1731,212
14,57,1000,1059,1629,400
15,896,1150,16411,25371,1888
16,125,1170,1678,2928,486
17,135,1100,2529,3879,439
18,653,1080,19082,25612,1900
19,114,1026,3523,4663,155
20,11,873,207,317,6.9
21,346,1097,6781,10241,509
22,25,990,147,397,180
23,21,920,214,424,53
24,44,900,764,1204,100
25,18,1176,176,356,30
26,99,930,3682,4672,157
27,223,1037,5665,7895,475
28,384,960,4411,8251,613.6
29,141,860,3341,4751,483.6
30,2021,1086,41528,61738,2500
31,66,1030,1251,1911,142
32,73,1000,1036,1766,210
33,10,1070,120,220,20
34,94,858,2344,3284,150
35,195,1180,2400,4350,300
36,70,910,1416,2116,233.5
37,165,1001,4148,5798,235
38,316,980,9738,12898,460.7
39,355,1060,5578,9128,1632
40,30,930,505,805,93
41,185,1124,3724,5574,263
42,101,945,2387,3397,144.5
43,148,1190,1900,3380,770
44,960,1057,16750,26350,1700
45,284,1310,2833,5673,1100
46,905,1090,15762,24812,1900
47,55,848,875,1425,60
48,445,1060,6603,11053,1200
49,623,1120,14727,20957,1600
50,412,1230,11179,15299,1289
51,1607,883,9251,25321,1666
52,26,800,608,868,15
53,48,1010,656,1136,160
54,281,980,3892,6702,200
55,195,1070,2987,4937,263
56,275,1060,5148,7898,487
57,867,1260,11240,19910,3300
58,37,843,569,939,145
59,28,980,628,908,205
60,2606,1160,34055,60115,7377
